,,,,,,,,,,,,,,,,,,,,
WH,,DC,,WH Lat,WH Long,DC Lat,DC Long,Manhattan,,,,,,,,,,,,
Jelly River Delta,1,1,Toffee Town,43.11,-108.68,49.27,-122.21,19.69,,,WH > DC,1,2,3,4,5,6,,,Total Cost
Jelly River Delta,1,2,Mallow Melt Mountains,43.11,-108.68,46.82,-97.83,14.56,,,1,19.69,14.56,27.34,8.8,9.19,45.16,,," $65,629.06 "
Jelly River Delta,1,3,Sherbet Shoreline,43.11,-108.68,25.36,-99.09,27.34,,,2,59.48,32.65,34.27,30.99,41.04,12.51,,,
Jelly River Delta,1,4,Vanilla Chai Vortex,43.11,-108.68,40.47,-102.52,8.8,,,3,60.97,34.14,26.68,32.48,42.53,4.92,,,
Jelly River Delta,1,5,Lollipop Lagoon,43.11,-108.68,48.33,-104.71,9.19,,,4,7.96,24.67,39.07,20.53,19.3,56.89,,,
Jelly River Delta,1,6,Pixie Stix Plateau,43.11,-108.68,27.33,-79.3,45.16,,,,,,,,,,,,
Buttercream Beach,2,1,Toffee Town,36.27,-75.73,49.27,-122.21,59.48,,,WH > DC,1,2,3,4,5,6,Sent by Wh,,
Buttercream Beach,2,2,Mallow Melt Mountains,36.27,-75.73,46.82,-97.83,32.65,,,1,973,805,0,550,707,0,3035,67.22%,
Buttercream Beach,2,3,Sherbet Shoreline,36.27,-75.73,25.36,-99.09,34.27,,,2,0,0,0,0,0,0,0,0.00%,
Buttercream Beach,2,4,Vanilla Chai Vortex,36.27,-75.73,40.47,-102.52,30.99,,,3,0,0,521,0,0,959,1480,32.78%,
Buttercream Beach,2,5,Lollipop Lagoon,36.27,-75.73,48.33,-104.71,41.04,,,4,0,0,0,0,0,0,0,0.00%,
Buttercream Beach,2,6,Pixie Stix Plateau,36.27,-75.73,27.33,-79.3,12.51,,,Sum,973,805,521,550,707,959,,,
Bubblegum Bay,3,1,Toffee Town,31.73,-78.78,49.27,-122.21,60.97,,,Demand,973,805,521,550,707,959,,,
Bubblegum Bay,3,2,Mallow Melt Mountains,31.73,-78.78,46.82,-97.83,34.14,,,,,,,,,,,,
Bubblegum Bay,3,3,Sherbet Shoreline,31.73,-78.78,25.36,-99.09,26.68,,,,,,,,,,,,
Bubblegum Bay,3,4,Vanilla Chai Vortex,31.73,-78.78,40.47,-102.52,32.48,,Setup Costs,2467,2163,2327,2213,,,,,,
Bubblegum Bay,3,5,Lollipop Lagoon,31.73,-78.78,48.33,-104.71,42.53,,Actual Costs,2467,0,2327,0,,,,,,
Bubblegum Bay,3,6,Pixie Stix Plateau,31.73,-78.78,27.33,-79.3,4.92,,,,,,,,,,,,
Fizzwhiz Fjord,4,1,Toffee Town,43.92,-119.6,49.27,-122.21,7.96,,Binary,1,0,1,0,2,,,,,
Fizzwhiz Fjord,4,2,Mallow Melt Mountains,43.92,-119.6,46.82,-97.83,24.67,,Linking,-1480,0,-3035,0,,,,,,
Fizzwhiz Fjord,4,3,Sherbet Shoreline,43.92,-119.6,25.36,-99.09,39.07,,,,,,,,,,,,
Fizzwhiz Fjord,4,4,Vanilla Chai Vortex,43.92,-119.6,40.47,-102.52,20.53,,,4515,4515,4515,4515,,,,,,
Fizzwhiz Fjord,4,5,Lollipop Lagoon,43.92,-119.6,48.33,-104.71,19.3,,,,,,,,,,,,
Fizzwhiz Fjord,4,6,Pixie Stix Plateau,43.92,-119.6,27.33,-79.3,56.89,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
