,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Workers Schedule,Full & Temp ,
,Workers,January,February,March,April,May,June,July,August,September,October,November,December,,,
,Fulltime,1,1,1,1,1,1,1,1,1,1,1,1,566," $77,388.02 ",
,Fudge & Frolic,1,1,0,0,0,0,0,0,0,0,0,0,0," $15,318.00 ",
,Bonbon Boulevard,0,0,0,1,1,1,0,0,0,0,0,0,68," $25,449.00 ",
,Snickerdoodle Street,0,1,1,0,0,0,0,0,0,0,0,0,0," $13,476.00 ",
,Tootie Fruity Trading Co.,0,0,0,0,0,0,0,1,1,0,0,0,46," $15,888.00 ",
,The Gummy Gazette,0,0,0,0,0,0,1,1,1,0,0,0,0," $28,146.00 ",
,The Jelly Jubilee,0,0,0,0,0,0,0,0,0,1,1,1,164," $27,543.00 ",
,Available,566,566,566,634,634,634,566,612,612,730,730,730,,,
,Required,300,410,566,634,556,410,342,431,612,730,682,518,,Total," $50,780,052.74 "
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
