,,,,,,,,,,,,,
Ship,From,,To,,Unit Cost,,,Location,Inflow,Outflow,Netflow,Supply/Demand,
368,1,Butter Rum Reef,7,Popping Candy Plains,$37.00,,1,Butter Rum Reef,0,368,-368,-368,
327,2,Candyfloss Countryside,4,Maple Fudge Forest,$33.00,,2,Candyfloss Countryside,0,327,-327,-327,
203,3,Gumdrops Grove,7,Popping Candy Plains,$45.00,,3,Gumdrops Grove,0,203,-203,-203,
0,4,Maple Fudge Forest,5,Marshmallow Meadows,$38.00,,4,Maple Fudge Forest,327,231,96,96,
51,4,Maple Fudge Forest,8,Swedish Fish Shores,$43.00,,5,Marshmallow Meadows,268,123,145,145,
180,4,Maple Fudge Forest,9,Tangerine Taffy Tropics,$43.00,,6,Peanut Butter Parlor,123,0,123,225,
0,5,Marshmallow Meadows,4,Maple Fudge Forest,$27.00,,7,Popping Candy Plains,571,378,193,193,
123,5,Marshmallow Meadows,6,Peanut Butter Parlor,$43.00,,8,Swedish Fish Shores,161,0,161,161,
0,6,Peanut Butter Parlor,5,Marshmallow Meadows,$32.00,,9,Tangerine Taffy Tropics,180,0,180,180,
268,7,Popping Candy Plains,5,Marshmallow Meadows,$37.00,,,,,,,,
110,7,Popping Candy Plains,8,Swedish Fish Shores,$45.00,,,,,,,,
0,7,Popping Candy Plains,9,Tangerine Taffy Tropics,$46.00,,,Total Transportation Cost,,,,,
0,8,Swedish Fish Shores,4,Maple Fudge Forest,$44.00,,," $63,630.00 ",,,,,
,,,,,,,,,,,,,
