,,,,,,,,
,,Bonbon Borough,Frosted Fluff Fields,Hazelnut Haven,Coconut Cluster Caves,,,
,Toblerone Tower,0.180,0.160,0.050,0.070,,,
,Pixie Stix Plateau,0.180,0.136,0.094,0.070,,,
,Licorice Labyrinth,0.050,0.122,0.065,0.050,,,
,Snickerdoodle Slopes,0.090,0.137,0.079,0.070,,,
Destination,Macaron Market,0.190,0.132,0.085,0.120,,,
Destination,Tangerine Taffy Tropics,0.090,0.129,0.072,0.190,,,
,,,,,,,,
,,,,,,,,
,,Bonbon Borough,Frosted Fluff Fields,Hazelnut Haven,Coconut Cluster Caves,,Demand ,
,Toblerone Tower,0,0,100,0,100,100,
,Pixie Stix Plateau,0,0,0,101,101,116,
,Licorice Labyrinth,114,0,0,0,114,114,
,Snickerdoodle Slopes,72,0,2,0,74,110,
,Macaron Market,0,101,0,0,101,101,
,Tangerine Taffy Tropics,0,62,44,0,106,106,
,,186,163,146,101,,,
,Capacity,186,163,146,101,,,
,,,,,,,,48.89465081
,,,,,,,,
