date,sales,unit_purchase_cost,fixed_order_cost
2022-01-01,25,54.06,122.9
2022-01-02,21,58.0,145.48
2022-01-03,13,55.26,150.46
2022-01-04,14,54.51,169.48
2022-01-05,18,43.2,141.91
2022-01-06,25,48.7,161.67
2022-01-07,22,50.24,169.53
2022-01-08,20,46.92,206.03
2022-01-09,21,56.28,119.17
2022-01-10,21,49.22,117.89
2022-01-11,25,41.25,119.47
2022-01-12,23,44.94,170.35
2022-01-13,22,47.35,167.28
2022-01-14,17,52.32,188.83
2022-01-15,21,53.86,125.01
2022-01-16,19,42.2,157.06
2022-01-17,14,56.4,135.38
2022-01-18,24,59.7,194.42
2022-01-19,17,42.15,149.13
2022-01-20,17,59.54,120.05
2022-01-21,18,47.92,144.3
2022-01-22,24,55.72,184.31
2022-01-23,23,59.88,190.95
2022-01-24,24,41.5,176.09
2022-01-25,14,60.17,215.96
2022-01-26,14,51.4,144.71
2022-01-27,24,50.95,214.37
2022-01-28,26,60.05,149.12
2022-01-29,17,55.42,136.95
2022-01-30,14,60.05,189.74
2022-01-31,15,40.42,180.62
2022-02-01,25,47.4,141.96
2022-02-02,22,44.36,170.34
2022-02-03,20,53.15,208.59
2022-02-04,16,47.35,145.17
2022-02-05,14,42.67,198.34
2022-02-06,26,40.54,146.07
2022-02-07,20,55.98,173.07
2022-02-08,15,59.4,165.26
2022-02-09,22,43.23,153.13
2022-02-10,21,43.62,141.04
2022-02-11,19,46.1,214.05
2022-02-12,22,48.05,164.8
2022-02-13,26,54.75,135.14
2022-02-14,16,40.47,212.48
2022-02-15,19,42.07,214.62
2022-02-16,22,55.61,207.24
2022-02-17,16,45.32,213.22
2022-02-18,15,49.52,196.8
2022-02-19,24,43.84,170.0
2022-02-20,24,53.23,150.5
2022-02-21,21,58.75,181.51
2022-02-22,21,48.23,179.81
2022-02-23,18,42.6,140.12
2022-02-24,19,50.83,167.3
2022-02-25,25,55.79,186.57
2022-02-26,21,42.58,200.65
2022-02-27,24,46.29,155.31
2022-02-28,24,43.06,180.43
2022-03-01,16,41.6,206.87
2022-03-02,24,45.96,180.2
2022-03-03,19,56.61,155.58
2022-03-04,21,46.88,201.84
2022-03-05,25,41.94,147.37
2022-03-06,26,47.24,209.68
2022-03-07,25,55.04,215.92
2022-03-08,17,52.96,208.34
2022-03-09,22,49.73,140.51
2022-03-10,18,45.27,151.46
2022-03-11,28,47.3,157.16
2022-03-12,21,51.93,211.13
2022-03-13,15,49.68,149.14
2022-03-14,18,50.3,122.41
2022-03-15,24,56.27,119.67
2022-03-16,23,49.64,120.13
2022-03-17,21,51.81,127.32
2022-03-18,22,39.95,207.83
2022-03-19,23,44.62,184.52
2022-03-20,20,55.42,190.16
2022-03-21,27,56.17,206.54
2022-03-22,21,59.53,157.97
2022-03-23,24,47.17,194.17
2022-03-24,20,53.64,207.09
2022-03-25,16,56.47,201.69
2022-03-26,16,48.63,173.57
2022-03-27,22,44.78,121.53
2022-03-28,17,47.26,169.06
2022-03-29,25,39.75,131.54
2022-03-30,24,55.64,176.62
2022-03-31,25,40.56,181.3
2022-04-01,23,48.97,180.4
2022-04-02,25,57.62,189.61
2022-04-03,23,42.46,146.55
2022-04-04,28,52.08,200.78
2022-04-05,29,41.05,137.65
2022-04-06,20,48.81,171.29
2022-04-07,23,44.45,158.16
2022-04-08,20,59.43,127.19
2022-04-09,28,43.29,172.84
2022-04-10,16,45.6,174.58
2022-04-11,22,44.23,134.04
2022-04-12,25,49.17,168.72
2022-04-13,17,56.95,144.92
2022-04-14,29,43.16,181.82
2022-04-15,22,49.16,146.33
2022-04-16,23,42.24,170.07
2022-04-17,22,57.04,133.81
2022-04-18,19,44.99,155.61
2022-04-19,25,55.62,196.06
2022-04-20,23,49.52,167.29
2022-04-21,20,44.29,135.88
2022-04-22,23,52.47,207.66
2022-04-23,17,59.4,131.57
2022-04-24,18,46.18,215.86
2022-04-25,18,50.24,199.62
2022-04-26,17,54.22,145.5
2022-04-27,27,43.49,155.36
2022-04-28,18,44.61,152.8
2022-04-29,18,44.23,117.43
2022-04-30,23,58.8,171.57
2022-05-01,19,51.46,203.78
2022-05-02,27,48.44,158.48
2022-05-03,18,52.91,119.77
2022-05-04,29,58.7,209.15
2022-05-05,27,55.76,132.01
2022-05-06,24,51.05,178.06
2022-05-07,20,48.2,155.43
2022-05-08,22,47.75,161.23
2022-05-09,30,43.08,185.07
2022-05-10,20,51.05,140.26
2022-05-11,29,55.23,127.77
2022-05-12,18,58.15,144.32
2022-05-13,29,45.09,143.52
2022-05-14,27,49.71,188.62
2022-05-15,25,40.43,116.71
2022-05-16,27,43.86,143.86
2022-05-17,26,43.57,188.91
2022-05-18,18,39.69,125.09
2022-05-19,25,55.41,192.83
2022-05-20,20,57.06,207.49
2022-05-21,23,58.19,165.01
2022-05-22,21,44.27,158.56
2022-05-23,27,40.84,194.96
2022-05-24,25,44.78,199.93
2022-05-25,27,57.38,172.14
2022-05-26,19,54.46,133.18
2022-05-27,28,56.91,167.21
2022-05-28,21,45.32,169.55
2022-05-29,20,41.9,159.39
2022-05-30,28,47.19,180.99
2022-05-31,22,51.46,172.17
2022-06-01,20,43.62,204.39
2022-06-02,24,44.78,200.85
