source_id,destination_id,units_shipped,total_cost
S43d4c90,D1b23125,16188,672.42
S43d4c90,D1b23125,15574,1892.84
S43d4c90,D4bb7b20,14103,336.9
S43d4c90,D3034469,17974,928.66
S43d4c90,D662583f,16094,475.5
S43d4c90,D1b23125,19797,5771.59
S43d4c90,D48b24ce,18652,2881.73
S43d4c90,D1b23125,13492,425.52
S43d4c90,D3034469,13965,721.52
S43d4c90,D662583f,18492,1286.03
S43d4c90,D3034469,18668,1337.87
S43d4c90,D1b23125,18580,4487.78
S43d4c90,D662583f,11321,221.27
S43d4c90,D1b23125,19948,3022.89
S43d4c90,D48b24ce,17305,-95.18
S43d4c90,D662583f,11204,667.15
S43d4c90,D4bb7b20,12975,1477.71
S43d4c90,D4bb7b20,18199,3892.56
S43d4c90,D9661ca9,11762,1216.3
S43d4c90,D48b24ce,17827,2576.0
S43d4c90,D662583f,12168,-5.53
S43d4c90,D48b24ce,15702,855.76
S43d4c90,D48b24ce,13156,980.12
S43d4c90,D4bb7b20,12478,298.09
S43d4c90,D9661ca9,16206,4754.99
S43d4c90,D662583f,12289,363.08
S43d4c90,D662583f,13900,5414.68
S43d4c90,D1b23125,15345,1251.21
S43d4c90,D9661ca9,18735,2499.42
S43d4c90,D48b24ce,13814,62.16
S43d4c90,D3034469,14152,165.11
S43d4c90,D4bb7b20,10550,357.53
S43d4c90,D1b23125,10361,223.16
S43d4c90,D662583f,12864,251.43
S43d4c90,D9661ca9,19513,1627.56
S43d4c90,D1b23125,15761,2073.18
S43d4c90,D9661ca9,13232,177.43
S43d4c90,D4bb7b20,13486,591.89
S43d4c90,D9661ca9,12860,429.64
S43d4c90,D9661ca9,17006,228.04
S43d4c90,D3034469,15420,1105.1
S43d4c90,D4bb7b20,16059,1507.76
S43d4c90,D9661ca9,11366,834.37
S43d4c90,D48b24ce,13081,-71.95
S43d4c90,D48b24ce,12996,578.32
S43d4c90,D662583f,17874,4460.38
S43d4c90,D48b24ce,11616,981.55
S43d4c90,D3034469,15709,183.27
S43d4c90,D662583f,10707,102.2
S43d4c90,D48b24ce,19319,86.94
S43d4c90,D1b23125,18312,4239.93
S43d4c90,D3034469,10494,1381.71
S43d4c90,D48b24ce,14132,1052.83
S43d4c90,D3034469,13543,158.0
S43d4c90,D662583f,13378,930.38
S43d4c90,D1b23125,13111,413.5
S43d4c90,D1b23125,19177,1371.89
S43d4c90,D48b24ce,12849,-199.16
S43d4c90,D48b24ce,13956,202.36
S43d4c90,D48b24ce,19311,4142.21
S43d4c90,D9661ca9,19113,447.42
S43d4c90,D4bb7b20,17450,416.86
S43d4c90,D48b24ce,18663,3443.32
S43d4c90,D1b23125,12650,9380.46
S43d4c90,D1b23125,10025,817.42
S43d4c90,D4bb7b20,11965,285.83
S43d4c90,D4bb7b20,14718,498.78
S43d4c90,D662583f,16675,1826.67
S43d4c90,D662583f,11239,-5.11
S43d4c90,D9661ca9,14019,187.98
S43d4c90,D1b23125,15413,2489.79
S43d4c90,D48b24ce,16796,2091.1
S43d4c90,D1b23125,15671,3628.44
S43d4c90,D662583f,10537,627.43
S43d4c90,D3034469,17079,2419.52
S43d4c90,D9661ca9,13437,1926.99
S43d4c90,D9661ca9,16980,567.29
S43d4c90,D4bb7b20,14077,617.82
S43d4c90,D1b23125,11416,-96.6
S43d4c90,D4bb7b20,19790,2847.56
S43d4c90,D48b24ce,15921,1663.74
S43d4c90,D48b24ce,19417,281.55
S43d4c90,D3034469,16271,3444.03
S43d4c90,D4bb7b20,15952,221.56
S43d4c90,D662583f,15794,624.58
S43d4c90,D662583f,16445,2952.63
S43d4c90,D48b24ce,16598,1402.53
S43d4c90,D48b24ce,16558,3882.85
S43d4c90,D3034469,13430,22.38
S43d4c90,D3034469,13468,695.85
S43d4c90,D662583f,16960,331.49
S43d4c90,D4bb7b20,12391,48.19
S43d4c90,D9661ca9,16920,396.08
S43d4c90,D9661ca9,17792,2017.77
S43d4c90,D9661ca9,19126,256.46
S43d4c90,D662583f,10993,1534.02
S43d4c90,D1b23125,10800,340.62
S43d4c90,D4bb7b20,17348,414.42
S43d4c90,D4bb7b20,15989,701.74
S43d4c90,D1b23125,15411,1718.92
S43d4c90,D662583f,18628,922.93
S43d4c90,D3034469,10151,7427.15
S43d4c90,D1b23125,14308,6031.37
S43d4c90,D9661ca9,18154,424.97
S43d4c90,D3034469,12243,387.69
S43d4c90,D48b24ce,18291,1362.68
S43d4c90,D48b24ce,16134,556.62
S43d4c90,D9661ca9,12023,161.22
S43d4c90,D9661ca9,14384,480.56
S43d4c90,D48b24ce,11567,399.06
S43d4c90,D48b24ce,14166,347.07
S43d4c90,D1b23125,18111,933.41
S43d4c90,D9661ca9,11050,2579.17
S43d4c90,D3034469,13032,4452.6
S43d4c90,D48b24ce,12190,1639.56
S43d4c90,D1b23125,16733,4878.31
S43d4c90,D1b23125,15185,2908.51
S43d4c90,D9661ca9,14287,477.32
S43d4c90,D4bb7b20,12156,47.27
S43d4c90,D9661ca9,12445,291.33
S43d4c90,D9661ca9,12333,782.02
S43d4c90,D662583f,15108,3316.89
S43d4c90,D48b24ce,15736,700.25
S43d4c90,D9661ca9,18805,1568.51
S43d4c90,D4bb7b20,19737,2050.46
S43d4c90,D9661ca9,15902,2439.51
S43d4c90,D4bb7b20,18170,434.06
S43d4c90,D48b24ce,14633,65.85
S43d4c90,D9661ca9,12585,294.6
S43d4c90,D3034469,13639,4387.21
S43d4c90,D9661ca9,19567,1632.07
S43d4c90,D1b23125,12817,7709.92
S43d4c90,D3034469,19263,417.36
S43d4c90,D662583f,16755,-7.62
S43d4c90,D9661ca9,11116,149.06
S43d4c90,D662583f,17090,504.93
S43d4c90,D3034469,10809,774.64
S43d4c90,D4bb7b20,15262,975.07
S43d4c90,D1b23125,17403,6117.82
S43d4c90,D1b23125,19906,2021.22
S43d4c90,D9661ca9,16463,1043.9
S43d4c90,D48b24ce,12161,-66.89
S43d4c90,D48b24ce,11671,169.23
S43d4c90,D4bb7b20,10562,463.55
S43d4c90,D662583f,17456,1912.23
S43d4c90,D4bb7b20,15366,59.76
S43d4c90,D4bb7b20,19847,275.65
S43d4c90,D3034469,15418,25.7
S43d4c90,D3034469,19782,1219.89
S43d4c90,D3034469,10503,2013.07
S43d4c90,D3034469,10262,1145.92
S43d4c90,D3034469,19172,1757.43
S43d4c90,D48b24ce,13234,588.91
S43d4c90,D9661ca9,18592,435.22
S43d4c90,D9661ca9,14310,1336.68
S43d4c90,D1b23125,13574,5179.0
S43d4c90,D9661ca9,13390,581.25
S43d4c90,D662583f,15668,462.92
S43d4c90,D3034469,13275,1349.62
S43d4c90,D662583f,19140,374.1
S43d4c90,D1b23125,14198,1867.58
S43d4c90,D662583f,19748,188.5
S43d4c90,D1b23125,10553,332.83
S43d4c90,D662583f,14834,289.94
S43d4c90,D9661ca9,11939,1234.6
S43d4c90,D662583f,17631,3518.19
S43d4c90,D662583f,15305,605.24
S43d4c90,D4bb7b20,14970,1106.12
S43d4c90,D1b23125,13453,10783.1
S43d4c90,D9661ca9,15457,1752.96
S43d4c90,D662583f,17045,333.15
S43d4c90,D9661ca9,14961,350.22
S43d4c90,D9661ca9,16267,706.14
S43d4c90,D662583f,18342,1459.02
S43d4c90,D9661ca9,15328,818.65
S43d4c90,D48b24ce,10825,481.71
S43d4c90,D9661ca9,18212,2065.41
S43d4c90,D4bb7b20,17660,951.68
S43d4c90,D662583f,19629,187.37
S43d4c90,D3034469,16690,5368.62
S43d4c90,D1b23125,12512,394.61
S43d4c90,D662583f,16233,154.95
S43d4c90,D48b24ce,15818,1811.16
S43d4c90,D1b23125,17250,6581.54
S43d4c90,D48b24ce,15500,3789.75
S43d4c90,D4bb7b20,17531,1120.04
S43d4c90,D1b23125,10818,990.26
S43d4c90,D4bb7b20,16417,2198.05
S43d4c90,D48b24ce,19903,1084.71
S43d4c90,D48b24ce,18905,5189.42
S43d4c90,D3034469,10038,619.01
S43d4c90,D9661ca9,18309,1527.14
S43d4c90,D3034469,13143,1336.2
S43d4c90,D4bb7b20,14054,1038.43
