source_id,destination_id,units_shipped,total_cost
S58c7391,D48b24ce,15346,876.21
S58c7391,D4bb7b20,10474,288.67
S58c7391,D48b24ce,11291,1435.05
S58c7391,D4bb7b20,12972,1006.12
S58c7391,D1b23125,12458,-333.43
S58c7391,D48b24ce,19985,5138.08
S58c7391,D9661ca9,16316,2688.26
S58c7391,D662583f,15342,2310.07
S58c7391,D4bb7b20,12535,1724.33
S58c7391,D662583f,15456,8818.75
S58c7391,D1b23125,17658,410.29
S58c7391,D48b24ce,10282,587.07
S58c7391,D4bb7b20,18442,1430.38
S58c7391,D1b23125,11318,715.7
S58c7391,D3034469,10025,2164.77
S58c7391,D1b23125,10802,899.11
S58c7391,D4bb7b20,12064,694.42
S58c7391,D9661ca9,19800,292.29
S58c7391,D9661ca9,11900,294.67
S58c7391,D1b23125,11272,374.63
S58c7391,D9661ca9,13246,725.38
S58c7391,D3034469,15309,3305.79
S58c7391,D48b24ce,12379,954.38
S58c7391,D1b23125,12363,3378.01
S58c7391,D1b23125,14581,47.17
S58c7391,D1b23125,11435,1637.9
S58c7391,D1b23125,11522,4415.64
S58c7391,D9661ca9,13571,1150.3
S58c7391,D9661ca9,14683,1391.39
S58c7391,D3034469,16812,940.42
S58c7391,D3034469,14347,85.19
S58c7391,D9661ca9,17803,6671.89
S58c7391,D48b24ce,16732,453.38
S58c7391,D662583f,19253,-374.06
S58c7391,D3034469,14351,515.74
S58c7391,D1b23125,12673,2195.41
S58c7391,D3034469,11874,782.94
S58c7391,D9661ca9,16644,2076.54
S58c7391,D3034469,18203,4112.74
S58c7391,D1b23125,17850,3270.75
S58c7391,D3034469,11015,285.7
S58c7391,D4bb7b20,14790,407.63
S58c7391,D9661ca9,10452,49.77
S58c7391,D48b24ce,10216,991.94
S58c7391,D662583f,19963,5401.42
S58c7391,D48b24ce,19316,909.72
S58c7391,D3034469,13712,629.89
S58c7391,D9661ca9,18252,2094.63
S58c7391,D662583f,14620,1324.15
S58c7391,D48b24ce,19430,2858.09
S58c7391,D662583f,15841,167.46
S58c7391,D1b23125,14960,497.2
S58c7391,D48b24ce,15895,271.75
S58c7391,D9661ca9,17348,1817.41
S58c7391,D3034469,15373,1013.66
S58c7391,D9661ca9,15624,230.64
S58c7391,D48b24ce,15489,4137.06
S58c7391,D9661ca9,18081,2798.25
S58c7391,D9661ca9,10557,366.98
S58c7391,D662583f,11003,2316.92
S58c7391,D1b23125,17127,397.95
S58c7391,D4bb7b20,17862,1206.77
S58c7391,D9661ca9,10648,3138.62
S58c7391,D48b24ce,15452,264.18
S58c7391,D662583f,18783,-177.1
S58c7391,D1b23125,18442,-124.75
S58c7391,D662583f,11784,9905.29
S58c7391,D9661ca9,15281,1906.49
S58c7391,D3034469,15832,727.28
S58c7391,D48b24ce,15044,407.64
S58c7391,D3034469,18232,290.57
S58c7391,D4bb7b20,14885,856.8
S58c7391,D48b24ce,18334,496.79
S58c7391,D9661ca9,14767,1842.36
S58c7391,D4bb7b20,10333,698.11
S58c7391,D9661ca9,10222,150.9
S58c7391,D1b23125,18891,3461.5
S58c7391,D9661ca9,14962,1567.45
S58c7391,D662583f,12873,2453.23
S58c7391,D4bb7b20,13782,242.03
S58c7391,D4bb7b20,19419,729.4
S58c7391,D9661ca9,16146,4759.23
S58c7391,D662583f,14641,3375.8
S58c7391,D48b24ce,11404,651.13
S58c7391,D4bb7b20,10778,81.49
S58c7391,D3034469,17382,4101.07
S58c7391,D4bb7b20,10007,175.73
S58c7391,D9661ca9,17510,958.88
S58c7391,D4bb7b20,10142,685.2
S58c7391,D9661ca9,17853,1870.31
S58c7391,D4bb7b20,13760,1067.24
S58c7391,D1b23125,10342,-380.22
S58c7391,D662583f,14995,3907.27
S58c7391,D662583f,13698,5076.09
S58c7391,D4bb7b20,16792,1638.24
S58c7391,D662583f,18423,1115.91
S58c7391,D3034469,15658,1032.45
S58c7391,D3034469,16479,262.63
S58c7391,D1b23125,12458,538.63
S58c7391,D4bb7b20,10510,394.77
S58c7391,D3034469,12127,2982.48
S58c7391,D662583f,11313,3852.88
S58c7391,D48b24ce,15052,106.82
S58c7391,D9661ca9,17395,952.58
S58c7391,D9661ca9,13654,1703.5
S58c7391,D9661ca9,18491,2676.79
S58c7391,D4bb7b20,11082,748.71
S58c7391,D4bb7b20,12101,212.51
S58c7391,D4bb7b20,12864,1126.38
S58c7391,D3034469,11657,2866.89
S58c7391,D4bb7b20,16527,455.5
S58c7391,D662583f,16743,8883.36
S58c7391,D662583f,17014,4773.64
S58c7391,D1b23125,12488,5909.76
S58c7391,D48b24ce,12199,1306.47
S58c7391,D48b24ce,11279,756.78
S58c7391,D1b23125,12044,520.73
S58c7391,D4bb7b20,19945,1945.85
S58c7391,D3034469,16045,737.07
S58c7391,D662583f,17356,1051.28
S58c7391,D662583f,10535,848.82
S58c7391,D662583f,13444,1217.64
S58c7391,D1b23125,11505,-192.88
S58c7391,D3034469,19437,7501.47
S58c7391,D3034469,15175,2821.6
S58c7391,D3034469,12786,1993.82
S58c7391,D1b23125,19978,-334.93
S58c7391,D4bb7b20,13419,2785.26
S58c7391,D662583f,15003,-291.49
S58c7391,D3034469,12148,72.13
S58c7391,D1b23125,12085,1851.85
S58c7391,D48b24ce,12960,999.17
S58c7391,D48b24ce,17505,2574.93
S58c7391,D4bb7b20,18058,2303.5
S58c7391,D9661ca9,18057,12364.75
S58c7391,D4bb7b20,19839,150.0
S58c7391,D3034469,19858,3295.19
S58c7391,D662583f,10546,216.95
S58c7391,D9661ca9,16843,3617.23
S58c7391,D662583f,14702,3389.86
S58c7391,D9661ca9,15888,11356.14
S58c7391,D4bb7b20,10382,493.78
S58c7391,D662583f,19393,205.01
S58c7391,D4bb7b20,16870,1308.45
S58c7391,D9661ca9,10422,466.51
S58c7391,D662583f,18040,1814.31
S58c7391,D9661ca9,17939,6722.85
S58c7391,D4bb7b20,17333,651.04
S58c7391,D4bb7b20,14794,259.8
S58c7391,D48b24ce,14059,1646.26
S58c7391,D1b23125,13315,4037.58
S58c7391,D1b23125,15626,3175.75
S58c7391,D662583f,14998,1058.43
S58c7391,D662583f,15792,640.7
S58c7391,D48b24ce,11276,1433.14
S58c7391,D9661ca9,13581,1558.58
S58c7391,D9661ca9,10575,2271.11
S58c7391,D662583f,12233,1719.61
S58c7391,D1b23125,12776,5662.77
S58c7391,D9661ca9,10076,954.82
S58c7391,D3034469,19870,1310.18
S58c7391,D9661ca9,14442,1224.13
S58c7391,D4bb7b20,10339,491.73
S58c7391,D48b24ce,18423,3815.34
S58c7391,D3034469,11873,782.88
S58c7391,D662583f,14537,880.53
S58c7391,D4bb7b20,10374,285.92
S58c7391,D4bb7b20,16754,294.22
S58c7391,D48b24ce,12132,86.1
S58c7391,D9661ca9,12688,2344.26
S58c7391,D4bb7b20,15931,1713.55
S58c7391,D9661ca9,14141,2047.08
S58c7391,D9661ca9,18398,6158.95
S58c7391,D3034469,16530,3404.15
S58c7391,D3034469,13759,1870.36
S58c7391,D662583f,11307,571.81
S58c7391,D9661ca9,10108,957.85
S58c7391,D662583f,15456,2636.35
S58c7391,D1b23125,18448,1166.56
S58c7391,D662583f,19147,7669.74
S58c7391,D3034469,15309,243.99
S58c7391,D1b23125,17488,3379.3
S58c7391,D662583f,15349,776.22
