source_id,destination_id,units_shipped,total_cost
S95d567d,D4bb7b20,15404,-142.19
S95d567d,D48b24ce,12608,2501.26
S95d567d,D662583f,18384,9657.35
S95d567d,D48b24ce,17578,498.99
S95d567d,D662583f,14016,2597.34
S95d567d,D3034469,13178,2871.21
S95d567d,D3034469,16170,7889.0
S95d567d,D48b24ce,10557,510.82
S95d567d,D1b23125,17469,1480.01
S95d567d,D4bb7b20,15668,1422.17
S95d567d,D3034469,14656,2606.99
S95d567d,D4bb7b20,16113,173.52
S95d567d,D3034469,15289,2872.48
S95d567d,D48b24ce,19439,746.21
S95d567d,D3034469,11922,3312.87
S95d567d,D4bb7b20,10410,528.51
S95d567d,D662583f,10274,1287.46
S95d567d,D1b23125,14688,2272.56
S95d567d,D9661ca9,19232,1270.21
S95d567d,D9661ca9,15539,-216.82
S95d567d,D9661ca9,11053,398.42
S95d567d,D4bb7b20,10100,209.77
S95d567d,D1b23125,14786,1252.7
S95d567d,D4bb7b20,10662,541.3
S95d567d,D9661ca9,18861,4452.07
S95d567d,D1b23125,16946,1266.24
S95d567d,D4bb7b20,18334,3864.24
S95d567d,D9661ca9,18870,1246.3
S95d567d,D662583f,16347,1721.54
S95d567d,D3034469,18452,514.42
S95d567d,D9661ca9,19325,310.1
S95d567d,D3034469,11757,210.2
S95d567d,D9661ca9,10187,876.56
S95d567d,D3034469,12937,1136.89
S95d567d,D9661ca9,10963,1052.96
S95d567d,D9661ca9,19636,21914.69
S95d567d,D1b23125,19347,-102.11
S95d567d,D48b24ce,10058,889.0
S95d567d,D9661ca9,15043,2046.55
S95d567d,D3034469,17162,650.08
S95d567d,D1b23125,10197,2291.49
S95d567d,D662583f,12202,186.84
S95d567d,D4bb7b20,15643,794.18
S95d567d,D9661ca9,16817,2456.06
S95d567d,D4bb7b20,16385,12.6
S95d567d,D9661ca9,17310,1316.37
S95d567d,D48b24ce,16764,2487.56
S95d567d,D9661ca9,19793,2296.91
S95d567d,D48b24ce,14332,120.2
S95d567d,D9661ca9,17134,3187.72
S95d567d,D9661ca9,13158,5474.34
S95d567d,D4bb7b20,13488,549.9
S95d567d,D3034469,19704,1928.6
S95d567d,D662583f,11021,2372.96
S95d567d,D9661ca9,17507,3957.4
S95d567d,D48b24ce,11192,4682.59
S95d567d,D1b23125,19565,2048.89
S95d567d,D4bb7b20,16065,1297.56
S95d567d,D3034469,15908,284.42
S95d567d,D3034469,15292,1496.76
S95d567d,D662583f,16298,412.54
S95d567d,D1b23125,17837,797.71
S95d567d,D48b24ce,12313,595.79
S95d567d,D4bb7b20,14445,11.11
S95d567d,D9661ca9,12303,443.48
S95d567d,D3034469,17809,4770.65
S95d567d,D1b23125,11029,272.66
S95d567d,D9661ca9,17214,6128.98
S95d567d,D1b23125,15927,1190.1
S95d567d,D4bb7b20,14591,1032.59
S95d567d,D1b23125,11214,725.8
S95d567d,D48b24ce,19769,956.56
S95d567d,D662583f,19265,1065.6
S95d567d,D9661ca9,15373,9470.48
S95d567d,D4bb7b20,16117,979.42
S95d567d,D662583f,16655,754.68
S95d567d,D662583f,13967,4962.65
S95d567d,D4bb7b20,13976,849.31
S95d567d,D9661ca9,18722,487.64
S95d567d,D4bb7b20,14347,154.51
S95d567d,D9661ca9,15437,1791.41
S95d567d,D4bb7b20,13100,534.08
S95d567d,D48b24ce,11256,319.53
S95d567d,D4bb7b20,15864,646.76
S95d567d,D4bb7b20,18836,202.85
S95d567d,D48b24ce,11149,427.98
S95d567d,D662583f,19555,1472.74
S95d567d,D1b23125,14459,1225.0
S95d567d,D662583f,19022,6758.75
S95d567d,D48b24ce,19153,4565.83
S95d567d,D4bb7b20,15532,11.95
S95d567d,D4bb7b20,10866,1094.96
S95d567d,D9661ca9,13708,-191.27
S95d567d,D9661ca9,12159,-48.07
S95d567d,D4bb7b20,15280,11.75
S95d567d,D3034469,13449,4006.17
S95d567d,D662583f,18537,283.85
S95d567d,D3034469,14150,4497.98
S95d567d,D48b24ce,17101,314.44
S95d567d,D9661ca9,12239,-170.78
S95d567d,D48b24ce,13266,-21.4
S95d567d,D48b24ce,12534,481.14
S95d567d,D4bb7b20,11613,473.45
S95d567d,D9661ca9,17099,-238.59
S95d567d,D1b23125,13101,1765.0
S95d567d,D4bb7b20,19597,211.04
S95d567d,D1b23125,15245,681.79
S95d567d,D662583f,13419,339.67
S95d567d,D662583f,17042,1453.9
S95d567d,D4bb7b20,16409,12.62
S95d567d,D48b24ce,15543,907.51
S95d567d,D9661ca9,14399,807.01
S95d567d,D48b24ce,16335,1117.1
S95d567d,D4bb7b20,10005,2508.95
S95d567d,D9661ca9,14342,947.24
S95d567d,D1b23125,14282,353.08
S95d567d,D48b24ce,16533,2122.62
S95d567d,D9661ca9,18393,5077.32
S95d567d,D3034469,19118,532.99
S95d567d,D9661ca9,10378,166.53
S95d567d,D9661ca9,17237,1138.44
S95d567d,D4bb7b20,11345,235.63
S95d567d,D4bb7b20,18056,1638.93
S95d567d,D9661ca9,14396,3110.21
S95d567d,D3034469,10830,85.33
S95d567d,D1b23125,10987,-57.99
S95d567d,D662583f,13907,7444.59
S95d567d,D4bb7b20,16297,12.54
S95d567d,D48b24ce,17457,320.98
S95d567d,D662583f,18377,1567.79
S95d567d,D1b23125,11390,1306.69
S95d567d,D4bb7b20,15733,1428.07
S95d567d,D662583f,16853,763.65
S95d567d,D9661ca9,15306,-213.57
S95d567d,D662583f,11939,1734.89
S95d567d,D662583f,16559,8201.88
S95d567d,D1b23125,17713,83.64
S95d567d,D9661ca9,12773,3525.94
S95d567d,D1b23125,12549,686.71
S95d567d,D4bb7b20,18621,1317.79
S95d567d,D4bb7b20,10445,112.48
S95d567d,D48b24ce,14678,563.45
S95d567d,D1b23125,16283,1705.19
S95d567d,D1b23125,12421,3412.32
S95d567d,D48b24ce,13961,535.92
S95d567d,D3034469,12721,7351.2
S95d567d,D3034469,15505,1982.76
S95d567d,D4bb7b20,18276,927.86
S95d567d,D3034469,12358,4916.99
S95d567d,D1b23125,13895,1177.22
S95d567d,D3034469,10990,1625.19
S95d567d,D662583f,11260,2874.82
S95d567d,D9661ca9,15132,1907.34
S95d567d,D662583f,15791,873.44
S95d567d,D4bb7b20,18171,-167.73
S95d567d,D1b23125,14336,4941.94
S95d567d,D9661ca9,11107,2510.7
S95d567d,D9661ca9,10888,501.35
S95d567d,D3034469,13457,12755.6
S95d567d,D9661ca9,18247,2299.97
S95d567d,D1b23125,16990,3818.03
S95d567d,D1b23125,13974,65.99
S95d567d,D1b23125,16530,904.56
S95d567d,D662583f,10151,2896.21
S95d567d,D1b23125,13139,193.44
S95d567d,D1b23125,15242,2205.86
S95d567d,D662583f,14878,1418.06
S95d567d,D3034469,16927,3349.49
S95d567d,D662583f,12209,553.22
S95d567d,D1b23125,17983,624.41
S95d567d,D662583f,14058,637.0
S95d567d,D9661ca9,14257,4648.45
S95d567d,D9661ca9,12100,6728.16
S95d567d,D3034469,10964,1292.42
S95d567d,D1b23125,11281,842.94
S95d567d,D1b23125,17037,761.93
S95d567d,D48b24ce,13331,111.81
